"","year","production","pop_name","n","originprop","originpercentage"
"253",2003,"Natural","Green River (Duwamish) Chinook",1228,0.311833417978669,31.1833417978669
"254",2004,"Hatchery","Green River (Duwamish) Chinook",5392,0.422239624119029,42.2239624119029
"255",2004,"Natural","Green River (Duwamish) Chinook",2555,0.319654697860628,31.9654697860628
"256",2005,"Hatchery","Green River (Duwamish) Chinook",1415,0.203012912482066,20.3012912482066
"257",2005,"Natural","Green River (Duwamish) Chinook",1108,0.181877872619829,18.1877872619829
"258",2006,"Hatchery","Green River (Duwamish) Chinook",3204,0.252820957942082,25.2820957942082
"259",2006,"Natural","Green River (Duwamish) Chinook",2586,0.182395260262378,18.2395260262378
"260",2007,"Hatchery","Green River (Duwamish) Chinook",2539,0.266925988225399,26.6925988225399
"261",2007,"Natural","Green River (Duwamish) Chinook",1762,0.183217219507123,18.3217219507123
"262",2008,"Hatchery","Green River (Duwamish) Chinook",2179,0.217291583566015,21.7291583566015
"263",2008,"Natural","Green River (Duwamish) Chinook",3792,0.216946049545168,21.6946049545168
"264",2009,"Hatchery","Green River (Duwamish) Chinook",523,0.0750358680057389,7.50358680057389
"265",2009,"Natural","Green River (Duwamish) Chinook",165,0.0405505038092898,4.05505038092898
"266",2010,"Hatchery","Green River (Duwamish) Chinook",1233,0.1225767968983,12.25767968983
"267",2010,"Natural","Green River (Duwamish) Chinook",859,0.116982159880158,11.6982159880158
"268",2011,"Hatchery","Green River (Duwamish) Chinook",534,0.0699044377536327,6.99044377536327
"269",2011,"Natural","Green River (Duwamish) Chinook",459,0.0887470997679814,8.87470997679814
"270",2012,"Hatchery","Green River (Duwamish) Chinook",1452,0.172078691633088,17.2078691633088
"271",2012,"Natural","Green River (Duwamish) Chinook",1638,0.19075346453942,19.075346453942
"272",2013,"Hatchery","Green River (Duwamish) Chinook",1517,0.158599059069524,15.8599059069524
"273",2013,"Natural","Green River (Duwamish) Chinook",524,0.0800122156054359,8.00122156054359
"274",2014,"Hatchery","Green River (Duwamish) Chinook",1974,0.287210824967263,28.7210824967263
"275",2014,"Natural","Green River (Duwamish) Chinook",756,0.131937172774869,13.1937172774869
"276",2015,"Hatchery","Green River (Duwamish) Chinook",3223,0.325095824087149,32.5095824087149
"277",2015,"Natural","Green River (Duwamish) Chinook",864,0.117920021837041,11.7920021837041
"278",2016,"Hatchery","Green River (Duwamish) Chinook",7497,0.514585764294049,51.4585764294049
"279",2016,"Natural","Green River (Duwamish) Chinook",2566,0.28812036829104,28.812036829104
"280",2017,"Hatchery","Green River (Duwamish) Chinook",6310,0.498341494234718,49.8341494234718
"281",2017,"Natural","Green River (Duwamish) Chinook",2047,0.205439582496989,20.5439582496989
"282",2018,"Hatchery","Green River (Duwamish) Chinook",4685,0.478500663874987,47.8500663874987
"283",2018,"Natural","Green River (Duwamish) Chinook",2206,0.252894646337269,25.2894646337269
"284",2019,"Hatchery","Green River (Duwamish) Chinook",1632,0.337818257089629,33.7818257089629
"285",2019,"Natural","Green River (Duwamish) Chinook",1344,0.38019801980198,38.019801980198
"286",1988,"Hatchery","Hoko Fall Chinook",40,1,100
"287",1988,"Natural","Hoko Fall Chinook",646,0.109976166155941,10.9976166155941
"288",1989,"Hatchery","Hoko Fall Chinook",98,1,100
"289",1989,"Natural","Hoko Fall Chinook",677,0.182381465517241,18.2381465517241
"290",1990,"Hatchery","Hoko Fall Chinook",232,1,100
"291",1990,"Natural","Hoko Fall Chinook",146,0.0815642458100559,8.15642458100559
"292",1991,"Hatchery","Hoko Fall Chinook",765,1,100
"293",1991,"Natural","Hoko Fall Chinook",129,0.0728402032749859,7.28402032749859
"294",1992,"Hatchery","Hoko Fall Chinook",255,1,100
"295",1992,"Natural","Hoko Fall Chinook",387,0.446882217090069,44.6882217090069
"296",1993,"Hatchery","Hoko Fall Chinook",152,1,100
"297",1993,"Natural","Hoko Fall Chinook",623,0.496019108280255,49.6019108280255
"298",1994,"Hatchery","Hoko Fall Chinook",108,1,100
"299",1994,"Natural","Hoko Fall Chinook",224,0.578811369509044,57.8811369509044
"300",1995,"Hatchery","Hoko Fall Chinook",502,0.894830659536542,89.4830659536542
"301",1995,"Natural","Hoko Fall Chinook",248,0.262990455991516,26.2990455991516
"302",1996,"Hatchery","Hoko Fall Chinook",799,0.710222222222222,71.0222222222222
"303",1996,"Natural","Hoko Fall Chinook",428,0.427572427572428,42.7572427572428
"304",1997,"Hatchery","Hoko Fall Chinook",413,0.243227326266196,24.3227326266196
"305",1997,"Natural","Hoko Fall Chinook",355,0.0663551401869159,6.63551401869159
"306",1998,"Hatchery","Hoko Fall Chinook",936,0.198347107438017,19.8347107438017
"307",1998,"Natural","Hoko Fall Chinook",682,0.158789289871944,15.8789289871944
"308",1999,"Hatchery","Hoko Fall Chinook",836,0.201883602994446,20.1883602994446
"309",1999,"Natural","Hoko Fall Chinook",661,0.160359049005337,16.0359049005337
"310",2000,"Hatchery","Hoko Fall Chinook",366,0.0774439272111722,7.74439272111722
"311",2000,"Natural","Hoko Fall Chinook",246,0.0572492436583663,5.72492436583663
"312",2001,"Hatchery","Hoko Fall Chinook",347,0.0732840549102429,7.32840549102429
"313",2001,"Natural","Hoko Fall Chinook",421,0.0532574320050601,5.32574320050601
"314",2002,"Hatchery","Hoko Fall Chinook",303,0.0600952003173344,6.00952003173344
"315",2002,"Natural","Hoko Fall Chinook",140,0.0486448922863099,4.86448922863099
"316",2003,"Hatchery","Hoko Fall Chinook",512,0.0543063215952482,5.43063215952482
"317",2003,"Natural","Hoko Fall Chinook",351,0.0891315388522092,8.91315388522092
"318",2004,"Hatchery","Hoko Fall Chinook",632,0.0494909945184025,4.94909945184025
"319",2004,"Natural","Hoko Fall Chinook",234,0.0292756161641436,2.92756161641436
"320",2005,"Hatchery","Hoko Fall Chinook",151,0.0216642754662841,2.16642754662841
"321",2005,"Natural","Hoko Fall Chinook",52,0.00853578463558766,0.853578463558766
"322",2006,"Hatchery","Hoko Fall Chinook",686,0.054130829322181,5.4130829322181
"323",2006,"Natural","Hoko Fall Chinook",159,0.0112145577655523,1.12145577655523
"324",2007,"Hatchery","Hoko Fall Chinook",264,0.0277544154751892,2.77544154751892
"325",2007,"Natural","Hoko Fall Chinook",198,0.020588541125091,2.0588541125091
"326",2008,"Hatchery","Hoko Fall Chinook",377,0.0375947347427204,3.75947347427204
"327",2008,"Natural","Hoko Fall Chinook",54,0.00308942159162423,0.308942159162423
"328",2009,"Hatchery","Hoko Fall Chinook",93,0.0133428981348637,1.33428981348637
"329",2009,"Natural","Hoko Fall Chinook",10,0.00245760629147211,0.245760629147211
"330",2010,"Hatchery","Hoko Fall Chinook",4,0.000397653842330252,0.0397653842330252
"331",2010,"Natural","Hoko Fall Chinook",315,0.0428979980934223,4.28979980934223
"332",2011,"Hatchery","Hoko Fall Chinook",199,0.0260505301741066,2.60505301741066
"333",2011,"Natural","Hoko Fall Chinook",1076,0.208043310131477,20.8043310131477
"334",2012,"Hatchery","Hoko Fall Chinook",273,0.0323536383029154,3.23536383029154
"335",2012,"Natural","Hoko Fall Chinook",128,0.0149062536392221,1.49062536392221
"336",2013,"Hatchery","Hoko Fall Chinook",45,0.00470465237846315,0.470465237846315
"337",2013,"Natural","Hoko Fall Chinook",611,0.0932966865170255,9.32966865170255
"338",2014,"Hatchery","Hoko Fall Chinook",64,0.00931179979630438,0.931179979630438
"339",2014,"Natural","Hoko Fall Chinook",1470,0.256544502617801,25.6544502617801
"340",2015,"Hatchery","Hoko Fall Chinook",1171,0.118115795844261,11.8115795844261
